id,name,price,quantity,stock,category_name,image
h2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d,"Tortilla Wraps",199,"6 pcs",30,Breakfast Instant,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1000-1000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/c505ccf0-dbc3-441a-8933-38b759a7c22c.jpeg"
i3c4d5e6-7f8a-9b0c-1d2e-3f4a5b6c7d8e,"iD Batter",129,"1kg",20,Breakfast Instant,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1500-1500%2Cpr-true%2Cf-auto%2Cq-80/inventory/product/4700b4fe-2b4d-4c5f-a84d-cb908c7d6fb6-852.jpg"
j4d5e6f7-8a9b-0c1d-2e3f-4a5b6c7d8e9f,"MTR Idli Mix",139,"500g",25,Breakfast Instant,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1021-1021%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/30803e2d-718b-4f18-a84f-52154fdadf4d.jpeg"
k5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,"Maggi Pazzta",99,"70g",40,Breakfast Instant,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1000-1000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/f0e9f37f-4900-4a6b-b063-f36b35638dc4.jpeg"
l6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,"YiPPee! Magic",89,"70g",50,Instant Noodles,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1000-1000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/db5cb46f-1ab6-4eaa-a1d4-dcd28bdf87ea.jpeg"
m7a8b9c0-1d2e-3f4a-5b6c-7d8e9f0a1b2c,"Korean Samyang",199,"140g",30,Instant Noodles,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1000-1000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/d3914337-48dc-410c-aad7-995a68892637.jpeg"
n8b9c0d1-2e3f-4a5b-6c7d-8e9f0a1b2c3d,"Maggi Masala",75,"70g",60,Instant Noodles,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1176-1176%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/5e44c2c3-8fa7-460f-8b1d-3fec37b77c1b.jpeg"
o9c0d1e2-3f4a-5b6c-7d8e-9f0a1b2c3d4e,"Bambino Vermicelli",59,"200g",35,Instant Noodles,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1021-1021%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/6da8bec9-c58c-4f5d-97ee-a8792186cc4f.jpeg"
p0d1e2f3-4a5b-6c7d-8e9f-0a1b2c3d4e5f,"Chings Veg Hakka",99,"150g",40,Instant Noodles,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1200-1200%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/7a689f8e-756c-4ba5-9d3c-6352bfce4a73.jpeg"
q1a2b3c4-5d6e-7f8a-9b0c-1d2e3f4a5b6c,"Dairy Milk Silk",120,"60g",50,Chocolates & Sweets,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-2000-2000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/a5408655-88d9-47c2-8733-543c5de6ea29.jpeg"
r2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d,"Munch",20,"25g",100,Chocolates & Sweets,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-2000-2000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/e7050b07-50d2-4628-9008-e17d4b7320c8.jpeg"
s3c4d5e6-7f8a-9b0c-1d2e-3f4a5b6c7d8e,"Nestle Milkybar",40,"30g",80,Chocolates & Sweets,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-2000-2000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/833f4fbd-b2fd-4d43-95ce-1345650854ec.jpeg"
t4d5e6f7-8a9b-0c1d-2e3f-4a5b6c7d8e9f,"Kitkat Minis",60,"36g",70,Chocolates & Sweets,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-2000-2000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/3b359cde-d158-4466-99d0-6a8fe40a69a3.jpeg"
u5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,"Toblerone",150,"100g",40,Chocolates & Sweets,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1021-1021%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/5c998381-fe2c-4f13-9421-d18df9286019.jpeg"
v6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,"Brownie Fudge",199,"500ml",25,Ice Creams,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1200-1200%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/1e600cd5-6475-48d1-b5e7-bfa89cfbbb7c.jpeg"
w7a8b9c0-1d2e-3f4a-5b6c-7d8e9f0a1b2c,"Amul Butterscotch",149,"500ml",30,Ice Creams,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1200-1200%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/45224eee-6755-4b5a-9398-570c420ae007.jpeg"
x8b9c0d1-2e3f-4a5b-6c7d-8e9f0a1b2c3d,"Hocco Hazelnut",179,"500ml",20,Ice Creams,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-772-813%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/abe51be0-c7c2-4c68-afa4-2bfdf3a04040.jpg"
y9c0d1e2-3f4a-5b6c-7d8e-9f0a1b2c3d4e,"Baskin Robbins",249,"500ml",15,Ice Creams,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-1000-1000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/c1caead9-b359-42e1-b838-7fcd5851940a.jpg"
z0d1e2f3-4a5b-6c7d-8e9f-0a1b2c3d4e5f,"Magnum Chocolate",199,"80ml",35,Ice Creams,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-5000-5000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/da3634a8-5789-4a7a-a827-91d4dfd21d00.jpeg"
a1b2c3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d,"Green Chilli",35,"100g",40,Vegetable,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-500-500%2Cpr-true%2Cf-auto%2Cq-80/inventory/product/ab853b33-d6c8-44fd-96d7-85679657bfc4-c6c81014-d603-45f1-a5bb-f2b492ddbe0a.jpeg"
b2c3d4e5-6f7a-8b9c-0d1e-2f3a4b5c6d7e,"Broccoli",75,"1 pc",30,Vegetable,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-3000-3000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/1528830b-2968-4712-8a0f-c59a0045f0aa.jpeg"
c3d4e5f6-7a8b-9c0d-1e2f-3a4b5c6d7e8f,"Ginger",49,"250g",35,Vegetable,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-3000-3000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/a44b5819-d6a4-4b02-90a3-2efd658fe2d9.jpeg"
d4e5f6a7-8b9c-0d1e-2f3a-4b5c6d7e8f9g,"Mint",25,"1 bunch",50,Vegetable,"https://cdn.zeptonow.com/production/tr:w-1280%2Car-3000-3000%2Cpr-true%2Cf-auto%2Cq-80/cms/product_variant/1391608d-d802-4d6b-8e4a-ee9415a650fc.jpeg"
